column_name,source_column,feature_type,non_empty_count,example_values,description
report_id,nan,derived,832,gm-cruise-collision-report-january-7-2019-pdf; aurora-innovation-collision-report-january-10-2019-pdf; gm-cruise-collision-report-january-10-2019-pdf,Stable report identifier from the DMV PDF slug.
report_title,nan,base,832,"GM Cruise January 7, 2019 (PDF); Aurora Innovation January 10, 2019 (PDF); GM Cruise January 10, 2019 (PDF)",Base column carried from normalized CSV.
report_date_manifest,nan,base,832,2019-01-07; 2019-01-10; 2019-01-26,Base column carried from normalized CSV.
report_year_folder,nan,base,832,2019; 2020; 2021,Base column carried from normalized CSV.
page_url,nan,base,832,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-january-7-2019-pdf/; https://www.dmv.ca.gov/portal/file/aurora-innovation-collision-report-january-10-2019-pdf/; https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-january-10-2019-pdf/,Base column carried from normalized CSV.
pdf_path,nan,base,832,reports/2019/gm-cruise-collision-report-january-7-2019-pdf.pdf; reports/2019/aurora-innovation-collision-report-january-10-2019-pdf.pdf; reports/2019/gm-cruise-collision-report-january-10-2019-pdf.pdf,Base column carried from normalized CSV.
pdf_exists,nan,base,832,1,Base column carried from normalized CSV.
page_count,nan,base,832,3; 1; 2,Base column carried from normalized CSV.
ol316_revision,nan,base,829,2/2017; 7/2020,Base column carried from normalized CSV.
manufacturer_name,nan,base,826,GM Cruise LLC; Aurora Innovation Inc; Waymo LLC,Base column carried from normalized CSV.
avt_number,nan,base,9,AVT; 003; AVDT004,Base column carried from normalized CSV.
business_name,nan,base,824,Cruise; Aurora Innovation Inc; Waymo LLC,Base column carried from normalized CSV.
business_phone,nan,base,0,nan,Base column carried from normalized CSV.
manufacturer_street_address,nan,base,3,1201 Bryant Street; 1149 Chess Drive; 1600 Amphitheatre Parkway,Base column carried from normalized CSV.
manufacturer_city,nan,base,5,San Francisco; Sa; Foster City,Base column carried from normalized CSV.
manufacturer_state,nan,base,9,CA,Base column carried from normalized CSV.
manufacturer_zip_code,nan,base,3,94103.0; 94404.0; 94043.0,Base column carried from normalized CSV.
accident_date,nan,base,826,01/07/2019; 01/10/2019; 01/26/2019,Base column carried from normalized CSV.
accident_time,nan,base,825,06:54; 02:52; 11:29,Base column carried from normalized CSV.
accident_meridiem,nan,base,0,nan,Base column carried from normalized CSV.
vehicle1_year,nan,base,825,2019.0; 2017.0; 2018.0,Base column carried from normalized CSV.
vehicle1_make,nan,base,825,Chevrolet; Lincoln; Chrysler,Base column carried from normalized CSV.
vehicle1_model,nan,base,825,Bolt; MKZ; Pacifica,Base column carried from normalized CSV.
vehicle1_license_plate,nan,base,1,67860S3,Base column carried from normalized CSV.
vehicle1_vin,nan,base,1,5TDDGRFHXHS029819,Base column carried from normalized CSV.
vehicle1_registration_state,nan,base,813,CA; California; 2,Base column carried from normalized CSV.
accident_location_address,nan,base,825,Folsom St. and 11th St.; Townsend and 3rd; S. Van Ness Ave between 12th St. and 13th St.,Base column carried from normalized CSV.
accident_city,nan,base,825,San Francisco; Mountain View; Los Altos,Base column carried from normalized CSV.
accident_county,nan,base,822,San Francisco; Santa Clara; Alameda,Base column carried from normalized CSV.
accident_state,nan,base,823,CA,Base column carried from normalized CSV.
accident_zip_code,nan,base,822,94103.0; 94107.0; 94041.0,Base column carried from normalized CSV.
vehicle1_moving,nan,base,832,0,Base column carried from normalized CSV.
vehicle1_stopped_in_traffic,nan,base,832,0,Base column carried from normalized CSV.
vehicle1_involved_pedestrian,nan,base,832,0,Base column carried from normalized CSV.
vehicle1_involved_bicyclist,nan,base,832,0,Base column carried from normalized CSV.
vehicle1_involved_other,nan,base,832,0,Base column carried from normalized CSV.
vehicle1_other_text,nan,base,174,Skateboarder; Truck; Scooter,Base column carried from normalized CSV.
number_of_vehicles_involved,nan,base,817,2; 3; 1,Base column carried from normalized CSV.
vehicle1_driver_name,nan,base,7,N/A - Driverless; Zoox,Base column carried from normalized CSV.
vehicle1_driver_license_number,nan,base,6,N/A - Driverless,Base column carried from normalized CSV.
vehicle1_driver_license_state,nan,base,532,CA; OR; IL,Base column carried from normalized CSV.
vehicle1_driver_date_of_birth,nan,base,2,1/28/2022; 04/15/1992,Base column carried from normalized CSV.
vehicle1_insurance_company,nan,base,0,nan,Base column carried from normalized CSV.
vehicle1_policy_number,nan,base,1,1.0,Base column carried from normalized CSV.
vehicle1_company_naic_number,nan,base,1,24147.0,Base column carried from normalized CSV.
vehicle1_policy_from,nan,base,0,nan,Base column carried from normalized CSV.
vehicle1_policy_to,nan,base,0,nan,Base column carried from normalized CSV.
vehicle1_damage_level,nan,base,824,moderate; minor; major,Base column carried from normalized CSV.
vehicle1_damage_zones,nan,base,749,front_driver_side_1; front_driver_side_3; left_front_corner_1; rear_bumper; right_rear_1; right_rear_3; right_rear_1; right_rear_3; right_rear_passenger_2,Base column carried from normalized CSV.
vehicle2_year,nan,base,454,2018; 2004; 2017,Base column carried from normalized CSV.
vehicle2_model,nan,base,653,Pcx150; Honda CR-V; Prius,Base column carried from normalized CSV.
vehicle2_license_plate,nan,base,17,unk.; Unk.; Unk,Base column carried from normalized CSV.
vehicle2_vin,nan,base,43,UNK; unk; unk.,Base column carried from normalized CSV.
vehicle2_registration_state,nan,base,560,CA; California; unk.,Base column carried from normalized CSV.
vehicle2_moving,nan,base,832,0,Base column carried from normalized CSV.
vehicle2_stopped_in_traffic,nan,base,832,0,Base column carried from normalized CSV.
vehicle2_involved_pedestrian,nan,base,832,0,Base column carried from normalized CSV.
vehicle2_involved_bicyclist,nan,base,832,0,Base column carried from normalized CSV.
vehicle2_involved_other,nan,base,832,0,Base column carried from normalized CSV.
vehicle2_other_text,nan,base,81,Parked; Skateboarder; Electric Scooterist,Base column carried from normalized CSV.
vehicle2_driver_name,nan,base,27,UNK; unk.; unk,Base column carried from normalized CSV.
vehicle2_driver_license_number,nan,base,34,unk; UNK; unk.,Base column carried from normalized CSV.
vehicle2_driver_license_state,nan,base,309,un; CA; Un,Base column carried from normalized CSV.
vehicle2_driver_date_of_birth,nan,base,2,UNK,Base column carried from normalized CSV.
vehicle2_insurance_company,nan,base,35,UNK; unk.; Unknown,Base column carried from normalized CSV.
vehicle2_policy_number,nan,base,38,UNK; unk; unk.,Base column carried from normalized CSV.
vehicle2_company_naic_number,nan,base,44,UNK; unk.; Unknown,Base column carried from normalized CSV.
vehicle2_policy_from,nan,base,4,UNK; 07/01/2023,Base column carried from normalized CSV.
