column_name,layer,raw_field_name,field_type,coverage_count,non_empty_count,positive_count,example_values,description
title,manifest,nan,text,832,832,,"GM Cruise January 7, 2019 (PDF); Aurora Innovation January 10, 2019 (PDF); GM Cruise January 10, 2019 (PDF)",Title text shown on the DMV collision reports page.
manufacturer,manifest,nan,text,831,831,,GM Cruise; Aurora Innovation; GM Cruise,Manufacturer parsed from the DMV page link text.
report_date,manifest,nan,text,832,832,,2019-01-07; 2019-01-10; 2019-01-10,Report date parsed from the DMV page link text.
year_folder,manifest,nan,text,832,832,,2019; 2019; 2019,Year folder used when downloading PDFs.
page_url,manifest,nan,text,832,832,,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-january-7-2019-pdf/; https://www.dmv.ca.gov/portal/file/aurora-innovation-collision-report-january-10-2019-pdf/; https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-january-10-2019-pdf/,Original DMV page URL for the PDF.
slug,manifest,nan,text,832,832,,gm-cruise-collision-report-january-7-2019-pdf; aurora-innovation-collision-report-january-10-2019-pdf; gm-cruise-collision-report-january-10-2019-pdf,Slug derived from the DMV page URL.
local_path,manifest,nan,text,832,832,,reports/2019/gm-cruise-collision-report-january-7-2019-pdf.pdf; reports/2019/aurora-innovation-collision-report-january-10-2019-pdf.pdf; reports/2019/gm-cruise-collision-report-january-10-2019-pdf.pdf,Relative path to the mirrored PDF file.
raw_0,raw_widget,0,Text,2,1,0.0,05/14/1992,Raw PDF widget '0' extracted from the OL 316 form.
raw_additional_information_attached,raw_widget,additional information attached,CheckBox,826,826,0.0,0,Raw PDF widget 'additional information attached' extracted from the OL 316 form.
raw_additional_information_attached_2,raw_widget,additional information attached_2,CheckBox,826,826,0.0,0,Raw PDF widget 'additional information attached_2' extracted from the OL 316 form.
raw_additional_information_attached_3,raw_widget,additional information attached_3,CheckBox,826,826,4.0,0; 1,Raw PDF widget 'additional information attached_3' extracted from the OL 316 form.
raw_address,raw_widget,ADDRESS,Text,826,8,0.0,unk; NA; N/A,Raw PDF widget 'ADDRESS' extracted from the OL 316 form.
raw_address_2_0,raw_widget,ADDRESS_2.0,Text,826,5,0.0,NA; N/A,Raw PDF widget 'ADDRESS_2.0' extracted from the OL 316 form.
raw_address_2_1_0_0,raw_widget,ADDRESS_2.1.0.0,Text,826,5,0.0,NA; N/A,Raw PDF widget 'ADDRESS_2.1.0.0' extracted from the OL 316 form.
raw_address_2_1_0_1,raw_widget,ADDRESS_2.1.0.1,Text,826,825,0.0,"A Cruise autonomous vehicle (“Cruise AV”), operating in conventional mode, was making a left turn from northeast bound Folsom Street onto northwest bound 11th Street when a scooterist, attempting to pass the Cruise AV on the left, made contact with the front left side of the Cruise AV, damaging the front left fender, radar, and wheel well of the Cruise AV.  The scooterist reported injuries and emergency services and the police arrived at the scene, but the scooterist declined medical treatment.  No police report was available at the time of the filing of this report.; On 01/10/19 at 2:52pm, an Aurora vehicle, while stopped at a red traffic light in manual mode on Townsend and 3rd, was struck in the rear bumber by a Honda CR-V approaching from behind. There was moderate damage to the Aurora vehicle's right sensor, mount, and side quarter panel. There was minimal damage to the Honda's front right bumper. Both vehicles were operational and pulled over on a side street to exchange vehicle and insurance information. No injuries were reported and no police were requested nor present at the scene.; A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northbound on South Van Ness Street near the Howard Street fork when another vehicle, turning right onto South Van Ness from Howard, made contact with the right rear corner of the Cruise AV, causing damage to the Cruise AV’s rear bumper.  There were no injuries and police were not called.",Raw PDF widget 'ADDRESS_2.1.0.1' extracted from the OL 316 form.
raw_address_2_1_1_0,raw_widget,ADDRESS_2.1.1.0,Text,826,7,0.0,NA; N/A; Three Embarcadero Center,Raw PDF widget 'ADDRESS_2.1.1.0' extracted from the OL 316 form.
raw_address_2_1_1_1,raw_widget,ADDRESS_2.1.1.1,Text,826,5,0.0,NA; N/A,Raw PDF widget 'ADDRESS_2.1.1.1' extracted from the OL 316 form.
raw_am,raw_widget,AM,CheckBox,826,826,0.0,0,Raw PDF widget 'AM' extracted from the OL 316 form.
