title,manufacturer,report_date,year_folder,page_url,slug,local_path
"GM Cruise January 7, 2019 (PDF)",GM Cruise,2019-01-07,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-january-7-2019-pdf/,gm-cruise-collision-report-january-7-2019-pdf,reports/2019/gm-cruise-collision-report-january-7-2019-pdf.pdf
"Aurora Innovation January 10, 2019 (PDF)",Aurora Innovation,2019-01-10,2019,https://www.dmv.ca.gov/portal/file/aurora-innovation-collision-report-january-10-2019-pdf/,aurora-innovation-collision-report-january-10-2019-pdf,reports/2019/aurora-innovation-collision-report-january-10-2019-pdf.pdf
"GM Cruise January 10, 2019 (PDF)",GM Cruise,2019-01-10,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-january-10-2019-pdf/,gm-cruise-collision-report-january-10-2019-pdf,reports/2019/gm-cruise-collision-report-january-10-2019-pdf.pdf
"Waymo January 26, 2019 (PDF)",Waymo,2019-01-26,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-january-26-2019-pdf/,waymo-collision-report-january-26-2019-pdf,reports/2019/waymo-collision-report-january-26-2019-pdf.pdf
"Waymo February 6, 2019 (PDF)",Waymo,2019-02-06,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-february-6-2019-pdf/,waymo-collision-report-february-6-2019-pdf,reports/2019/waymo-collision-report-february-6-2019-pdf.pdf
"Waymo February 10, 2019 (PDF)",Waymo,2019-02-10,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-february-10-2019-pdf/,waymo-collision-report-february-10-2019-pdf,reports/2019/waymo-collision-report-february-10-2019-pdf.pdf
"GM Cruise February 14, 2019 (PDF)",GM Cruise,2019-02-14,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-february-14-2019-pdf/,gm-cruise-collision-report-february-14-2019-pdf,reports/2019/gm-cruise-collision-report-february-14-2019-pdf.pdf
"Waymo February 26, 2019 (PDF)",Waymo,2019-02-26,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-february-26-2019-pdf/,waymo-collision-report-february-26-2019-pdf,reports/2019/waymo-collision-report-february-26-2019-pdf.pdf
"GM Cruise February 27, 2019 (PDF)",GM Cruise,2019-02-27,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-february-27-2019-pdf/,gm-cruise-collision-report-february-27-2019-pdf,reports/2019/gm-cruise-collision-report-february-27-2019-pdf.pdf
"Lyft February 28, 2019 (PDF)",Lyft,2019-02-28,2019,https://www.dmv.ca.gov/portal/file/lyft-collision-report-february-28-2019-pdf/,lyft-collision-report-february-28-2019-pdf,reports/2019/lyft-collision-report-february-28-2019-pdf.pdf
"Lyft March 6, 2019 (PDF)",Lyft,2019-03-06,2019,https://www.dmv.ca.gov/portal/file/lyft-collision-report-march-6-2019-pdf/,lyft-collision-report-march-6-2019-pdf,reports/2019/lyft-collision-report-march-6-2019-pdf.pdf
"GM Cruise March 8, 2019 (PDF)",GM Cruise,2019-03-08,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-march-8-2019-pdf/,gm-cruise-collision-report-march-8-2019-pdf,reports/2019/gm-cruise-collision-report-march-8-2019-pdf.pdf
"Lyft March 12, 2019 (PDF)",Lyft,2019-03-12,2019,https://www.dmv.ca.gov/portal/file/lyft-collision-report-march-12-2019-pdf/,lyft-collision-report-march-12-2019-pdf,reports/2019/lyft-collision-report-march-12-2019-pdf.pdf
"GM Cruise March 23, 2019 (PDF)",GM Cruise,2019-03-23,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-march-23-2019-pdf/,gm-cruise-collision-report-march-23-2019-pdf,reports/2019/gm-cruise-collision-report-march-23-2019-pdf.pdf
"GM Cruise March 24, 2019 (PDF)",GM Cruise,2019-03-24,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-march-24-2019-pdf/,gm-cruise-collision-report-march-24-2019-pdf,reports/2019/gm-cruise-collision-report-march-24-2019-pdf.pdf
"Waymo March 26, 2019 (PDF)",Waymo,2019-03-26,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-march-26-2019-pdf/,waymo-collision-report-march-26-2019-pdf,reports/2019/waymo-collision-report-march-26-2019-pdf.pdf
"GM Cruise April 3, 2019 (PDF)",GM Cruise,2019-04-03,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-april-3-2019-pdf/,gm-cruise-collision-report-april-3-2019-pdf,reports/2019/gm-cruise-collision-report-april-3-2019-pdf.pdf
"GM Cruise April 10, 2019 (1) (PDF)",GM Cruise,2019-04-10,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-april-10-2019-1-pdf/,gm-cruise-collision-report-april-10-2019-1-pdf,reports/2019/gm-cruise-collision-report-april-10-2019-1-pdf.pdf
"GM Cruise April 10, 2019 (2) (PDF)",GM Cruise,2019-04-10,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-april-10-2019-2-pdf/,gm-cruise-collision-report-april-10-2019-2-pdf,reports/2019/gm-cruise-collision-report-april-10-2019-2-pdf.pdf
"Lyft April 11, 2019 (PDF)",Lyft,2019-04-11,2019,https://www.dmv.ca.gov/portal/file/lyft-collision-report-april-11-2019-pdf/,lyft-collision-report-april-11-2019-pdf,reports/2019/lyft-collision-report-april-11-2019-pdf.pdf
"GM Cruise April 14, 2019 (1) (PDF)",GM Cruise,2019-04-14,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-april-14-2019-1-pdf/,gm-cruise-collision-report-april-14-2019-1-pdf,reports/2019/gm-cruise-collision-report-april-14-2019-1-pdf.pdf
