feature,count,prevalence,injury_rate_when_present
mech_stop_context_expanded,197,0.5794117647058824,0.3604060913705584
mech_signal_wait,104,0.3058823529411765,0.36538461538461536
mech_brake_or_stop_transition,101,0.29705882352941176,0.36633663366336633
mech_yielding,54,0.1588235294117647,0.2962962962962963
mech_braking,53,0.15588235294117647,0.3018867924528302
mech_stop_in_lane,46,0.13529411764705881,0.45652173913043476
mech_rear_strike_phrase,42,0.12352941176470589,0.2857142857142857
mech_cut_in,8,0.023529411764705882,0.25
mech_queue_wait,7,0.020588235294117647,0.5714285714285714
mech_pickup_dropoff,4,0.011764705882352941,0.5
